,run,agentID,suspect,victim,thief,DNAatCS,locCS,statement,experiment_name,runs
4,24,4,0,0,0,0,1,1,thief,200
5,24,5,0,0,0,1,1,1,thief,200
6,24,6,0,0,0,0,0,0,thief,200
7,24,7,0,0,0,0,0,0,thief,200
8,24,8,0,0,0,1,0,0,thief,200
9,24,9,0,0,0,0,0,0,thief,200
0,25,0,1,0,1,1,1,1,thief,200
1,25,1,0,0,0,0,0,0,thief,200
2,25,2,0,0,0,0,0,0,thief,200
3,25,3,0,0,0,0,0,0,thief,200
4,25,4,0,0,0,0,0,0,thief,200
5,25,5,0,0,0,0,1,1,thief,200
6,25,6,0,0,0,0,0,0,thief,200
7,25,7,0,0,0,0,0,0,thief,200
8,25,8,0,0,0,0,0,0,thief,200
9,25,9,0,1,0,0,0,0,thief,200
0,26,0,1,0,1,1,0,0,thief,200
1,26,1,0,0,0,0,0,0,thief,200
2,26,2,0,0,0,1,0,0,thief,200
3,26,3,0,0,0,1,0,0,thief,200
4,26,4,0,0,0,0,0,0,thief,200
5,26,5,0,0,0,0,0,0,thief,200
6,26,6,0,0,0,0,0,0,thief,200
7,26,7,0,0,0,1,0,0,thief,200
8,26,8,0,0,0,0,0,0,thief,200
9,26,9,0,0,0,0,0,0,thief,200
0,27,0,1,0,1,1,1,1,thief,200
1,27,1,0,0,0,0,0,0,thief,200
2,27,2,0,1,0,0,1,1,thief,200
3,27,3,0,0,0,0,0,0,thief,200
4,27,4,0,0,0,0,0,0,thief,200
5,27,5,0,0,0,0,0,0,thief,200
6,27,6,0,0,0,0,0,0,thief,200
7,27,7,0,0,0,0,0,0,thief,200
8,27,8,0,0,0,0,0,0,thief,200
9,27,9,0,0,0,1,0,0,thief,200
0,28,0,1,0,1,1,1,1,thief,200
1,28,1,0,0,0,0,0,0,thief,200
2,28,2,0,0,0,0,0,0,thief,200
3,28,3,0,1,0,0,1,1,thief,200
4,28,4,0,0,0,0,0,0,thief,200
5,28,5,0,0,0,1,0,0,thief,200
6,28,6,0,0,0,0,0,0,thief,200
7,28,7,0,0,0,0,0,0,thief,200
8,28,8,0,0,0,1,0,0,thief,200
9,28,9,0,0,0,0,0,0,thief,200
0,29,0,1,0,1,1,0,0,thief,200
1,29,1,0,0,0,1,0,0,thief,200
2,29,2,0,0,0,0,0,0,thief,200
3,29,3,0,0,0,0,0,0,thief,200
4,29,4,0,0,0,0,0,0,thief,200
5,29,5,0,0,0,1,0,0,thief,200
6,29,6,0,0,0,1,0,0,thief,200
7,29,7,0,0,0,1,0,0,thief,200
8,29,8,0,0,0,1,0,0,thief,200
9,29,9,0,0,0,0,0,0,thief,200
0,30,0,1,0,1,1,0,0,thief,200
1,30,1,0,0,0,1,0,0,thief,200
2,30,2,0,0,0,1,0,0,thief,200
3,30,3,0,0,0,1,0,0,thief,200
4,30,4,0,0,0,1,0,0,thief,200
5,30,5,0,0,0,1,0,0,thief,200
6,30,6,0,0,0,1,0,0,thief,200
7,30,7,0,0,0,0,0,0,thief,200
8,30,8,0,0,0,0,0,0,thief,200
9,30,9,0,0,0,1,0,0,thief,200
0,31,0,1,0,1,1,1,1,thief,200
1,31,1,0,0,0,0,0,0,thief,200
2,31,2,0,0,0,0,0,0,thief,200
3,31,3,0,1,0,0,1,1,thief,200
4,31,4,0,0,0,0,1,1,thief,200
5,31,5,0,0,0,1,0,0,thief,200
6,31,6,0,0,0,0,0,0,thief,200
7,31,7,0,0,0,1,0,0,thief,200
8,31,8,0,0,0,0,1,1,thief,200
9,31,9,0,0,0,0,0,0,thief,200
0,32,0,1,0,1,1,1,1,thief,200
1,32,1,0,0,0,0,0,0,thief,200
2,32,2,0,0,0,0,0,0,thief,200
3,32,3,0,0,0,0,0,0,thief,200
4,32,4,0,0,0,0,0,0,thief,200
5,32,5,0,0,0,1,0,0,thief,200
6,32,6,0,1,0,1,1,1,thief,200
7,32,7,0,0,0,0,0,0,thief,200
8,32,8,0,0,0,1,0,0,thief,200
9,32,9,0,0,0,0,0,0,thief,200
0,33,0,1,0,1,1,0,0,thief,200
1,33,1,0,0,0,1,0,0,thief,200
2,33,2,0,0,0,1,0,0,thief,200
3,33,3,0,0,0,0,0,0,thief,200
4,33,4,0,0,0,1,0,0,thief,200
5,33,5,0,0,0,1,0,0,thief,200
6,33,6,0,0,0,0,0,0,thief,200
7,33,7,0,0,0,0,0,0,thief,200
8,33,8,0,0,0,1,0,0,thief,200
9,33,9,0,0,0,0,0,0,thief,200
0,34,0,1,0,1,1,1,1,thief,200
1,34,1,0,0,0,0,0,0,thief,200
2,34,2,0,1,0,0,1,1,thief,200
3,34,3,0,0,0,0,0,0,thief,200
4,34,4,0,0,0,0,0,0,thief,200
5,34,5,0,0,0,0,0,0,thief,200
6,34,6,0,0,0,0,0,0,thief,200
7,34,7,0,0,0,0,0,0,thief,200
8,34,8,0,0,0,0,0,0,thief,200
9,34,9,0,0,0,0,0,0,thief,200
0,35,0,1,0,1,0,1,1,thief,200
1,35,1,0,1,0,0,1,1,thief,200
2,35,2,0,0,0,0,0,0,thief,200
3,35,3,0,0,0,0,0,0,thief,200
4,35,4,0,0,0,0,0,0,thief,200
5,35,5,0,0,0,0,1,1,thief,200
6,35,6,0,0,0,0,0,0,thief,200
7,35,7,0,0,0,0,1,1,thief,200
8,35,8,0,0,0,0,0,0,thief,200
9,35,9,0,0,0,0,0,0,thief,200
0,36,0,1,0,1,1,1,1,thief,200
1,36,1,0,0,0,1,0,0,thief,200
2,36,2,0,1,0,0,0,0,thief,200
3,36,3,0,0,0,0,0,0,thief,200
4,36,4,0,0,0,0,0,0,thief,200
5,36,5,0,0,0,0,0,0,thief,200
6,36,6,0,0,0,1,0,0,thief,200
7,36,7,0,0,0,1,0,0,thief,200
8,36,8,0,0,0,1,0,0,thief,200
9,36,9,0,0,0,0,0,0,thief,200
0,37,0,1,0,1,1,1,1,thief,200
1,37,1,0,0,0,0,0,0,thief,200
2,37,2,0,0,0,0,0,0,thief,200
3,37,3,0,0,0,0,0,0,thief,200
4,37,4,0,0,0,0,0,0,thief,200
5,37,5,0,0,0,0,0,0,thief,200
6,37,6,0,0,0,0,0,0,thief,200
7,37,7,0,0,0,0,0,0,thief,200
8,37,8,0,0,0,0,0,0,thief,200
9,37,9,0,1,0,0,1,1,thief,200
0,38,0,1,0,1,1,1,1,thief,200
1,38,1,0,0,0,0,0,0,thief,200
2,38,2,0,0,0,0,0,0,thief,200
3,38,3,0,0,0,0,0,0,thief,200
4,38,4,0,0,0,0,0,0,thief,200
5,38,5,0,0,0,0,0,0,thief,200
6,38,6,0,0,0,0,0,0,thief,200
7,38,7,0,0,0,0,0,0,thief,200
8,38,8,0,0,0,0,0,0,thief,200
9,38,9,0,1,0,0,1,1,thief,200
0,39,0,1,0,1,1,1,1,thief,200
1,39,1,0,0,0,0,0,0,thief,200
2,39,2,0,0,0,0,0,0,thief,200
3,39,3,0,0,0,0,0,0,thief,200
4,39,4,0,1,0,0,1,1,thief,200
5,39,5,0,0,0,0,0,0,thief,200
6,39,6,0,0,0,0,0,0,thief,200
7,39,7,0,0,0,1,0,0,thief,200
8,39,8,0,0,0,0,0,0,thief,200
9,39,9,0,0,0,0,0,0,thief,200
0,40,0,1,0,1,1,1,1,thief,200
1,40,1,0,0,0,0,0,0,thief,200
2,40,2,0,0,0,0,0,0,thief,200
3,40,3,0,0,0,0,0,0,thief,200
4,40,4,0,0,0,0,0,0,thief,200
5,40,5,0,0,0,0,0,0,thief,200
6,40,6,0,0,0,0,1,1,thief,200
7,40,7,0,1,0,0,1,1,thief,200
8,40,8,0,0,0,0,0,0,thief,200
9,40,9,0,0,0,0,1,1,thief,200
0,41,0,1,0,1,1,1,1,thief,200
1,41,1,0,0,0,0,0,0,thief,200
2,41,2,0,0,0,0,0,0,thief,200
3,41,3,0,1,0,0,1,1,thief,200
4,41,4,0,0,0,0,0,0,thief,200
5,41,5,0,0,0,0,0,0,thief,200
6,41,6,0,0,0,1,0,0,thief,200
7,41,7,0,0,0,0,0,0,thief,200
8,41,8,0,0,0,0,0,0,thief,200
9,41,9,0,0,0,0,0,0,thief,200
0,42,0,1,0,1,1,0,0,thief,200
1,42,1,0,0,0,0,0,0,thief,200
2,42,2,0,0,0,0,0,0,thief,200
3,42,3,0,0,0,1,0,0,thief,200
4,42,4,0,0,0,1,0,0,thief,200
5,42,5,0,0,0,1,0,0,thief,200
6,42,6,0,0,0,0,0,0,thief,200
7,42,7,0,0,0,1,0,0,thief,200
8,42,8,0,0,0,0,0,0,thief,200
9,42,9,0,0,0,1,0,0,thief,200
0,43,0,1,0,1,1,1,1,thief,200
1,43,1,0,0,0,0,0,0,thief,200
2,43,2,0,0,0,0,0,0,thief,200
3,43,3,0,0,0,0,0,0,thief,200
4,43,4,0,0,0,0,0,0,thief,200
5,43,5,0,1,0,0,1,1,thief,200
6,43,6,0,0,0,0,0,0,thief,200
7,43,7,0,0,0,0,0,0,thief,200
8,43,8,0,0,0,0,0,0,thief,200
9,43,9,0,0,0,0,0,0,thief,200
0,44,0,1,0,1,1,0,0,thief,200
1,44,1,0,0,0,0,0,0,thief,200
2,44,2,0,0,0,0,0,0,thief,200
3,44,3,0,0,0,0,0,0,thief,200
4,44,4,0,0,0,1,0,0,thief,200
5,44,5,0,0,0,1,0,0,thief,200
6,44,6,0,0,0,0,0,0,thief,200
7,44,7,0,0,0,0,0,0,thief,200
8,44,8,0,0,0,0,0,0,thief,200
9,44,9,0,0,0,1,0,0,thief,200
0,45,0,1,0,1,1,1,1,thief,200
1,45,1,0,0,0,0,0,0,thief,200
2,45,2,0,1,0,0,1,1,thief,200
3,45,3,0,0,0,0,0,0,thief,200
4,45,4,0,0,0,0,0,0,thief,200
5,45,5,0,0,0,0,0,0,thief,200
6,45,6,0,0,0,0,0,0,thief,200
7,45,7,0,0,0,0,0,0,thief,200
8,45,8,0,0,0,0,0,0,thief,200
9,45,9,0,0,0,0,0,0,thief,200
0,46,0,1,0,1,1,1,1,thief,200
1,46,1,0,0,0,1,0,0,thief,200
2,46,2,0,0,0,0,0,0,thief,200
3,46,3,0,0,0,0,0,0,thief,200
4,46,4,0,1,0,0,1,1,thief,200
5,46,5,0,0,0,0,1,1,thief,200
6,46,6,0,0,0,0,0,0,thief,200
